Name,G,AV,QBrec,Cmp%,Yds,Y/A,TD,Int,FantPt
Terry Bradshaw,168,140,107-51-0,51.9,27989,7.2,212,210,1881.5
David Carr,94,49,23-56-0,59.7,14452,6.4,65,71,846.9
Joey Harrington,81,34,26-50-0,56.1,14693,5.8,79,85,766.7
Joe Burrow,26,22,12-13-1,68.2,7299,7.9,47,19,487.9
Gus Frerotte,147,66,45-47-1,54.7,21291,6.9,114,106,1129.1
Archie Manning,151,94,35-101-3,55.2,23911,6.6,125,173,1364.6
Derek Anderson,78,22,20-29-0,54.3,10878,6.5,60,64,583.8
Daryle Lamonica,151,88,66-16-6,49.5,19154,7.4,164,138,1268.2
Kyle Boller,67,17,20-27-0,56.7,8931,5.9,48,54,478.5
Daniel Jones,38,25,12-25-0,62.8,8398,6.6,45,29,561.5
Jim McMahon,119,71,67-30-0,58.0,18148,7.1,100,90,1194.3
Philip Rivers,244,218,134-106-0,64.9,63440,7.8,421,209,3812.8
Pat Haden,65,36,35-19-1,53.6,9296,6.8,52,60,535.7
